# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
-10 0 0 ffffff
-7 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 dc0a0a
-2 0 0 dc0a0a
-1 0 0 dc0a0a
-10 1 0 ffffff
-8 1 0 ffffff
-7 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 dc0a0a
-2 1 0 dc0a0a
-1 1 0 dc0a0a
-10 2 0 ffffff
-8 2 0 ffffff
-7 2 0 ffffff
-5 2 0 ffffff
-2 2 0 dc0a0a
-10 3 0 ffffff
-8 3 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-10 4 0 ffffff
-9 4 0 ffffff
-8 4 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-2 4 0 000000
-1 4 0 000000
-10 5 0 ffffff
-9 5 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-2 5 0 000000
-1 5 0 000000
-9 6 0 ffffff
-8 6 0 ffffff
-7 6 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-1 6 0 ffffff
-6 7 0 ffffff
-5 7 0 ffffff
-4 7 0 ffffff
-3 7 0 ffffff
-2 7 0 ffffff
-1 7 0 ffffff
-1 9 0 c6cf67
-8 10 0 c6cf67
-4 10 0 c6cf67
-2 10 0 c6cf67
-1 10 0 c6cf67
-11 11 0 c6cf67
-7 11 0 c6cf67
-6 11 0 c6cf67
-10 12 0 c6cf67
-16 13 0 c6cf67
-10 0 1 f56161
-1 0 1 dc0a0a
-10 1 1 f56161
-1 1 1 dc0a0a
-10 2 1 f56161
-1 2 1 000000
-10 3 1 f56161
-10 4 1 f56161
-10 5 1 f56161
-9 5 1 f56161
-8 5 1 f56161
-7 5 1 f56161
-6 8 1 c6cf67
-9 9 1 c6cf67
-5 9 1 c6cf67
-3 9 1 c6cf67
-2 9 1 c6cf67
-16 10 1 c6cf67
-12 10 1 c6cf67
-8 10 1 c6cf67
-7 10 1 c6cf67
-5 10 1 c6cf67
-11 11 1 c6cf67
-1 0 2 dc0a0a
-1 2 2 000000
-7 7 2 c6cf67
-10 8 2 c6cf67
-7 8 2 c6cf67
-6 8 2 c6cf67
-4 8 2 c6cf67
-3 8 2 c6cf67
-16 9 2 c6cf67
-15 9 2 c6cf67
-14 9 2 c6cf67
-13 9 2 c6cf67
-10 9 2 c6cf67
-8 9 2 c6cf67
-6 9 2 c6cf67
-16 10 2 c6cf67
-15 10 2 c6cf67
-13 10 2 c6cf67
-12 10 2 c6cf67
-1 0 3 0f0adc
-1 1 3 000000
-8 6 3 c6cf67
-14 7 3 c6cf67
-13 7 3 c6cf67
-12 7 3 c6cf67
-11 7 3 c6cf67
-8 7 3 c6cf67
-5 7 3 c6cf67
-4 7 3 c6cf67
-14 8 3 c6cf67
-13 8 3 c6cf67
-11 8 3 c6cf67
-9 8 3 c6cf67
-7 8 3 c6cf67
-14 9 3 c6cf67
-13 9 3 c6cf67
-2 0 4 000000
-1 0 4 0f0adc
-1 1 4 000000
-9 5 4 c6cf67
-11 6 4 c6cf67
-10 6 4 c6cf67
-9 6 4 c6cf67
-6 6 4 c6cf67
-5 6 4 c6cf67
-12 7 4 c6cf67
-10 7 4 c6cf67
-9 7 4 c6cf67
-2 0 5 000000
-1 0 5 0f0adc
-10 4 5 c6cf67
-9 4 5 c6cf67
-8 4 5 c6cf67
-10 5 5 c6cf67
-9 5 5 c6cf67
-7 5 5 c6cf67
-11 6 5 c6cf67
-10 6 5 c6cf67
-4 0 6 000000
-3 0 6 000000
-2 0 6 000000
-1 0 6 000000
-6 2 6 c6cf67
-7 3 6 c6cf67
-8 4 6 c6cf67
-9 5 6 c6cf67
-3 0 7 c6cf67
-4 1 7 c6cf67
-6 2 7 c6cf67
-5 2 7 c6cf67
-7 3 7 c6cf67
-3 0 8 c6cf67
-4 1 8 c6cf67
-3 -10 0 ffffff
-1 -10 0 ffffff
-3 -9 0 ffffff
-2 -9 0 ffffff
-1 -9 0 ffffff
-5 -8 0 ffffff
-4 -8 0 ffffff
-3 -8 0 ffffff
-2 -8 0 ffffff
-1 -8 0 ffffff
-8 -7 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-5 -7 0 ffffff
-4 -7 0 ffffff
-3 -7 0 ffffff
-2 -7 0 ffffff
-1 -7 0 ffffff
-11 -6 0 ffffff
-10 -6 0 ffffff
-9 -6 0 ffffff
-8 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-4 -6 0 ffffff
-3 -6 0 ffffff
-2 -6 0 ffffff
-1 -6 0 ffffff
-11 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-4 -5 0 ffffff
-11 -4 0 ffffff
-6 -4 0 ffffff
-3 -4 0 000000
-2 -4 0 000000
-1 -4 0 000000
-11 -3 0 f56161
-10 -3 0 f56161
-6 -3 0 ffffff
-4 -3 0 000000
-3 -3 0 000000
-2 -3 0 000000
-11 -2 0 ffffff
-10 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 000000
-4 -2 0 000000
-1 -2 0 dc0a0a
-10 -1 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 000000
-4 -1 0 000000
-2 -1 0 dc0a0a
-1 -1 0 dc0a0a
-2 -11 1 ffffff
-1 -11 1 ffffff
-2 -10 1 ffffff
-1 -10 1 ffffff
-3 -8 1 ffffff
-2 -8 1 ffffff
-5 -7 1 ffffff
-11 -6 1 f56161
-10 -6 1 f56161
-9 -6 1 f56161
-11 -5 1 f56161
-11 -4 1 f56161
-11 -3 1 f56161
-11 -2 1 f56161
-10 -2 1 f56161
-10 -1 1 f56161
-2 -1 1 dc0a0a
-1 -1 1 dc0a0a
-1 -12 2 ffffff
-1 -11 2 ffffff
-1 -1 2 dc0a0a
-1 -1 3 0f0adc
-1 -1 4 0f0adc
-2 -2 5 000000
-1 -2 5 000000
-2 -1 5 000000
-1 -1 5 000000
-3 -1 6 000000
-3 -1 7 c6cf67
3 -16 0 000000
4 -16 0 000000
5 -16 0 000000
6 -16 0 000000
2 -15 0 000000
3 -15 0 000000
6 -15 0 000000
6 -14 0 000000
6 -13 0 000000
0 -12 0 ffffff
6 -12 0 000000
6 -11 0 000000
0 -10 0 ffffff
6 -10 0 000000
0 -9 0 ffffff
6 -9 0 000000
7 -9 0 000000
8 -9 0 000000
9 -9 0 000000
10 -9 0 000000
0 -8 0 ffffff
1 -8 0 ffffff
2 -8 0 ffffff
3 -8 0 ffffff
4 -8 0 ffffff
5 -8 0 ffffff
6 -7 0 ffffff
7 -7 0 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
7 -6 0 ffffff
3 -5 0 dc0ad5
4 -5 0 dc0ad5
7 -5 0 ffffff
0 -4 0 000000
1 -4 0 000000
2 -4 0 000000
3 -4 0 dc0ad5
4 -4 0 dc0ad5
7 -4 0 ffffff
0 -3 0 000000
1 -3 0 000000
2 -3 0 000000
3 -3 0 dc0ad5
4 -3 0 dc0ad5
5 -3 0 dc0ad5
7 -3 0 ffffff
0 -2 0 dc0a0a
3 -2 0 dc0ad5
4 -2 0 dc0ad5
5 -2 0 dc0ad5
7 -2 0 ffffff
0 -1 0 dc0a0a
1 -1 0 dc0a0a
3 -1 0 dc0ad5
4 -1 0 dc0ad5
5 -1 0 dc0ad5
6 -1 0 ffffff
7 -1 0 ffffff
2 -15 1 ffffff
0 -11 1 ffffff
1 -11 1 ffffff
0 -10 1 ffffff
1 -10 1 ffffff
5 -9 1 000000
5 -8 1 000000
6 -8 1 000000
8 -8 1 000000
7 -7 1 000000
8 -7 1 000000
4 -4 1 dc0ad5
